mask_type,learning_rate,ent_coef,mean_overall,steps_overall,goal_rate,mean_clean,steps_clean,reward_sd_clean,steps_sd_clean,runs
nodupe,0.01,0.1,-1618.37,760.71,0.24,93.958,2.958,1.989,0.859,"[[-3000, 1000, false], [96.0, 2, true], [-1004.0, 1000, false], [94.0, 4, true], [-2996, 1000, false], [-1002.0, 1000, false], [93.0, 3, true], [-3000, 1000, false], [-3000, 1000, false], [-1002.0, 1000, false], [93.0, 3, true], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [94.0, 4, true], [93.0, 3, true], [-1002.0, 1000, false], [-1004.0, 1000, false], [93.0, 3, true], [93.0, 3, true], [96.0, 2, true], [-1004.0, 1000, false], [90.0, 4, true], [-3000, 1000, false], [-1004.0, 1000, false], [-3000, 1000, false], [-1002.0, 1000, false], [-1004.0, 1000, false], [96.0, 2, true], [-3000, 1000, false], [-1002.0, 1000, false], [90.0, 4, true], [-3000, 1000, false], [-3000, 1000, false], [-1002.0, 1000, false], [-3000, 1000, false], [96.0, 2, true], [96.0, 2, true], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [93.0, 3, true], [-1002.0, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [-1004.0, 1000, false], [-1002.0, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [-1004.0, 1000, false], [-3000, 1000, false], [-1006.0, 1000, false], [-1004.0, 1000, false], [-1002.0, 1000, false], [90.0, 4, true], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [93.0, 3, true], [-1002.0, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [-1004.0, 1000, false], [-1004.0, 1000, false], [-1002.0, 1000, false], [-3000, 1000, false], [94.0, 4, true], [96.0, 2, true], [-3000, 1000, false], [-3000, 1000, false], [-1002.0, 1000, false], [-3000, 1000, false], [-1004.0, 1000, false], [-1004.0, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [-1004.0, 1000, false], [-1002.0, 1000, false], [-3000, 1000, false], [94.0, 4, true], [-3000, 1000, false], [96.0, 2, true], [-1002.0, 1000, false], [94.0, 4, true], [96.0, 2, true], [96.0, 2, true], [-3000, 1000, false], [-1002.0, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [-1004.0, 1000, false], [-1002.0, 1000, false], [-1002.0, 1000, false]]"
nodupe,0.01,0.05,-2955.86,1000.0,0.0,nan,nan,nan,nan,"[[-2994.0, 1000, false], [-2994.0, 1000, false], [-2992.0, 1000, false], [-2998, 1000, false], [-2994.0, 1000, false], [-2998, 1000, false], [-2994.0, 1000, false], [-2998, 1000, false], [-2994.0, 1000, false], [-2994.0, 1000, false], [-2998, 1000, false], [-2994.0, 1000, false], [-2998, 1000, false], [-2998, 1000, false], [-2998, 1000, false], [-2998, 1000, false], [-2994.0, 1000, false], [-2998, 1000, false], [-2996, 1000, false], [-2998, 1000, false], [-2994.0, 1000, false], [-2998, 1000, false], [-2994.0, 1000, false], [-2994.0, 1000, false], [-2998, 1000, false], [-2994.0, 1000, false], [-2998, 1000, false], [-2994.0, 1000, false], [-2994.0, 1000, false], [-2998, 1000, false], [-2998, 1000, false], [-2990.0, 1000, false], [-2994.0, 1000, false], [-2990.0, 1000, false], [-2998, 1000, false], [-2994.0, 1000, false], [-2994.0, 1000, false], [-2994.0, 1000, false], [-2998, 1000, false], [-2994.0, 1000, false], [-2998, 1000, false], [-2994.0, 1000, false], [-2994.0, 1000, false], [-2998, 1000, false], [-2998, 1000, false], [-2998, 1000, false], [-2994.0, 1000, false], [-2998, 1000, false], [-2994.0, 1000, false], [-2994.0, 1000, false], [-2994.0, 1000, false], [-2998, 1000, false], [-2998, 1000, false], [-2994.0, 1000, false], [-2994.0, 1000, false], [-2994.0, 1000, false], [-2998, 1000, false], [-2998, 1000, false], [-2994.0, 1000, false], [-2998, 1000, false], [-2998, 1000, false], [-2998, 1000, false], [-2994.0, 1000, false], [-2994.0, 1000, false], [-2994.0, 1000, false], [-2994.0, 1000, false], [-2994.0, 1000, false], [-2996, 1000, false], [-2998, 1000, false], [-2994.0, 1000, false], [-2998, 1000, false], [-2998, 1000, false], [-2998, 1000, false], [-2994.0, 1000, false], [-2990.0, 1000, false], [-2994.0, 1000, false], [-2998, 1000, false], [-2994.0, 1000, false], [-2998, 1000, false], [-2998, 1000, false], [-2998, 1000, false], [-2998, 1000, false], [-2994.0, 1000, false], [-2994.0, 1000, false], [-2994.0, 1000, false], [-2998, 1000, false], [-2998, 1000, false], [-2994.0, 1000, false], [-2994.0, 1000, false], [-2998, 1000, false], [-1004.0, 1000, false], [-2994.0, 1000, false], [-2998, 1000, false], [-2998, 1000, false], [-2990.0, 1000, false], [-2998, 1000, false], [-1004.0, 1000, false], [-2998, 1000, false], [-2994.0, 1000, false], [-2994.0, 1000, false]]"
nodupe,0.01,0.001,-1000.0,1000.0,0.0,nan,nan,nan,nan,"[[-1000.0, 1000, false], [-1000.0, 1000, false], [-1000.0, 1000, false], [-1000.0, 1000, false], [-1000.0, 1000, false], [-1000.0, 1000, false], [-1000.0, 1000, false], [-1000.0, 1000, false], [-1000.0, 1000, false], [-1000.0, 1000, false], [-1000.0, 1000, false], [-1000.0, 1000, false], [-1000.0, 1000, false], [-1000.0, 1000, false], [-1000.0, 1000, false], [-1000.0, 1000, false], [-1000.0, 1000, false], [-1000.0, 1000, false], [-1000.0, 1000, false], [-1000.0, 1000, false], [-1000.0, 1000, false], [-1000.0, 1000, false], [-1000.0, 1000, false], [-1000.0, 1000, false], [-1000.0, 1000, false], [-1000.0, 1000, false], [-1000.0, 1000, false], [-1000.0, 1000, false], [-1000.0, 1000, false], [-1000.0, 1000, false], [-1000.0, 1000, false], [-1000.0, 1000, false], [-1000.0, 1000, false], [-1000.0, 1000, false], [-1000.0, 1000, false], [-1000.0, 1000, false], [-1000.0, 1000, false], [-1000.0, 1000, false], [-1000.0, 1000, false], [-1000.0, 1000, false], [-1000.0, 1000, false], [-1000.0, 1000, false], [-1000.0, 1000, false], [-1000.0, 1000, false], [-1000.0, 1000, false], [-1000.0, 1000, false], [-1000.0, 1000, false], [-1000.0, 1000, false], [-1000.0, 1000, false], [-1000.0, 1000, false], [-1000.0, 1000, false], [-1000.0, 1000, false], [-1000.0, 1000, false], [-1000.0, 1000, false], [-1000.0, 1000, false], [-1000.0, 1000, false], [-1000.0, 1000, false], [-1000.0, 1000, false], [-1000.0, 1000, false], [-1000.0, 1000, false], [-1000.0, 1000, false], [-1000.0, 1000, false], [-1000.0, 1000, false], [-1000.0, 1000, false], [-1000.0, 1000, false], [-1000.0, 1000, false], [-1000.0, 1000, false], [-1000.0, 1000, false], [-1000.0, 1000, false], [-1000.0, 1000, false], [-1000.0, 1000, false], [-1000.0, 1000, false], [-1000.0, 1000, false], [-1000.0, 1000, false], [-1000.0, 1000, false], [-1000.0, 1000, false], [-1000.0, 1000, false], [-1000.0, 1000, false], [-1000.0, 1000, false], [-1000.0, 1000, false], [-1000.0, 1000, false], [-1000.0, 1000, false], [-1000.0, 1000, false], [-1000.0, 1000, false], [-1000.0, 1000, false], [-1000.0, 1000, false], [-1000.0, 1000, false], [-1000.0, 1000, false], [-1000.0, 1000, false], [-1000.0, 1000, false], [-1000.0, 1000, false], [-1000.0, 1000, false], [-1000.0, 1000, false], [-1000.0, 1000, false], [-1000.0, 1000, false], [-1000.0, 1000, false], [-1000.0, 1000, false], [-1000.0, 1000, false], [-1000.0, 1000, false], [-1000.0, 1000, false]]"
nodupe,0.001,0.1,-897.55,323.27,0.68,90.309,4.809,3.91,1.949,"[[88.0, 6, true], [92.0, 4, true], [96.0, 2, true], [89.0, 5, true], [-2994, 1000, false], [88.0, 8, true], [-2998, 1000, false], [88.0, 6, true], [86.0, 6, true], [92.0, 4, true], [92.0, 4, true], [-2998, 1000, false], [88.0, 6, true], [88.0, 6, true], [92.0, 4, true], [96.0, 2, true], [-2994, 1000, false], [-2998, 1000, false], [96.0, 2, true], [92.0, 4, true], [87.0, 7, true], [-2996.0, 1000, false], [96.0, 2, true], [92.0, 4, true], [96.0, 2, true], [-2998, 1000, false], [-2994, 1000, false], [-2998, 1000, false], [92.0, 4, true], [92.0, 4, true], [88.0, 8, true], [92.0, 4, true], [-2994, 1000, false], [-2998, 1000, false], [87.0, 7, true], [84.0, 8, true], [96.0, 2, true], [92.0, 4, true], [96.0, 2, true], [-2998, 1000, false], [92.0, 4, true], [84.0, 8, true], [82.0, 8, true], [88.0, 6, true], [89.0, 5, true], [-2998, 1000, false], [92.0, 4, true], [96.0, 2, true], [84.0, 8, true], [86.0, 6, true], [-2998, 1000, false], [89.0, 5, true], [-2998, 1000, false], [89.0, 5, true], [-2998, 1000, false], [96.0, 2, true], [-2998, 1000, false], [87.0, 7, true], [-2994, 1000, false], [-2996.0, 1000, false], [-2994, 1000, false], [-2998, 1000, false], [-2998, 1000, false], [-2994, 1000, false], [96.0, 2, true], [-2998, 1000, false], [-2998, 1000, false], [-2998, 1000, false], [89.0, 5, true], [-2996.0, 1000, false], [88.0, 6, true], [89.0, 5, true], [89.0, 5, true], [96.0, 2, true], [-2996.0, 1000, false], [92.0, 4, true], [90.0, 6, true], [84.0, 8, true], [96.0, 2, true], [82.0, 8, true], [-2998, 1000, false], [85.0, 7, true], [-2996.0, 1000, false], [84.0, 8, true], [96.0, 2, true], [92.0, 4, true], [89.0, 5, true], [92.0, 4, true], [96.0, 2, true], [92.0, 4, true], [92.0, 4, true], [92.0, 4, true], [89.0, 5, true], [88.0, 6, true], [-2998, 1000, false], [89.0, 5, true], [87.0, 7, true], [92.0, 4, true], [88.0, 6, true], [-2996, 1000, false]]"
nodupe,0.001,0.05,88.96,5.98,1.0,88.96,5.98,5.059,2.49,"[[83.0, 9, true], [85.0, 7, true], [92.0, 4, true], [85.0, 7, true], [84.0, 8, true], [80.0, 10, true], [90.0, 6, true], [94.0, 4, true], [96.0, 2, true], [95.0, 3, true], [90.0, 6, true], [86.0, 8, true], [86.0, 8, true], [89.0, 7, true], [85.0, 7, true], [92.0, 4, true], [83.0, 9, true], [95.0, 3, true], [92.0, 4, true], [91.0, 5, true], [87.0, 7, true], [84.0, 8, true], [92.0, 4, true], [91.0, 5, true], [94.0, 4, true], [90.0, 6, true], [90.0, 6, true], [95.0, 3, true], [91.0, 5, true], [87.0, 7, true], [83.0, 9, true], [79.0, 11, true], [92.0, 4, true], [90.0, 6, true], [95.0, 3, true], [95.0, 3, true], [95.0, 3, true], [84.0, 8, true], [83.0, 9, true], [84.0, 8, true], [95.0, 3, true], [79.0, 11, true], [90.0, 6, true], [81.0, 9, true], [90.0, 6, true], [94.0, 4, true], [83.0, 9, true], [90.0, 6, true], [95.0, 3, true], [96.0, 2, true], [89.0, 7, true], [96.0, 2, true], [91.0, 5, true], [91.0, 5, true], [77.0, 11, true], [92.0, 4, true], [91.0, 5, true], [96.0, 2, true], [86.0, 8, true], [90.0, 6, true], [89.0, 7, true], [83.0, 9, true], [83.0, 9, true], [84.0, 10, true], [91.0, 5, true], [86.0, 8, true], [81.0, 9, true], [92.0, 4, true], [95.0, 3, true], [87.0, 7, true], [84.0, 8, true], [90.0, 6, true], [85.0, 7, true], [91.0, 5, true], [95.0, 3, true], [95.0, 3, true], [86.0, 8, true], [87.0, 7, true], [91.0, 5, true], [96.0, 2, true], [86.0, 8, true], [95.0, 3, true], [77.0, 11, true], [82.0, 10, true], [94.0, 4, true], [92.0, 4, true], [96.0, 2, true], [91.0, 5, true], [91.0, 5, true], [85.0, 7, true], [88.0, 6, true], [85.0, 7, true], [80.0, 10, true], [95.0, 3, true], [85.0, 9, true], [95.0, 3, true], [90.0, 6, true], [83.0, 9, true], [95.0, 3, true], [94.0, 4, true]]"
nodupe,0.001,0.001,-1886.16,641.18,0.36,92.833,3.278,3.566,1.542,"[[-2996.0, 1000, false], [96.0, 2, true], [-3000, 1000, false], [96.0, 2, true], [-3000, 1000, false], [-2996.0, 1000, false], [-3000, 1000, false], [93.0, 3, true], [-3000, 1000, false], [-3000, 1000, false], [86.0, 6, true], [-2998, 1000, false], [-2996.0, 1000, false], [-2996.0, 1000, false], [96.0, 2, true], [86.0, 6, true], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [86.0, 6, true], [96.0, 2, true], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [93.0, 3, true], [89.0, 5, true], [-3000, 1000, false], [-3000, 1000, false], [96.0, 2, true], [-3000, 1000, false], [-2996.0, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [93.0, 3, true], [92.0, 4, true], [87.0, 5, true], [96.0, 2, true], [93.0, 3, true], [93.0, 3, true], [96.0, 2, true], [93.0, 3, true], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [93.0, 3, true], [-2996.0, 1000, false], [-3000, 1000, false], [92.0, 4, true], [-3000, 1000, false], [-2996.0, 1000, false], [-2998, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [92.0, 4, true], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [93.0, 3, true], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [85.0, 7, true], [-3000, 1000, false], [-3000, 1000, false], [96.0, 2, true], [-3000, 1000, false], [-2996.0, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [93.0, 3, true], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [90.0, 4, true], [96.0, 2, true], [87.0, 7, true], [96.0, 2, true], [-3000, 1000, false], [96.0, 2, true], [96.0, 2, true], [96.0, 2, true], [-2998, 1000, false], [96.0, 2, true], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [-2996.0, 1000, false], [96.0, 2, true], [93.0, 3, true]]"
nodupe,0.0001,0.1,-1514.64,521.2,0.48,94.5,2.5,1.857,0.619,"[[96.0, 2, true], [96.0, 2, true], [-3000, 1000, false], [96.0, 2, true], [-3000, 1000, false], [-3000, 1000, false], [96.0, 2, true], [96.0, 2, true], [93.0, 3, true], [-3000, 1000, false], [96.0, 2, true], [-3000, 1000, false], [96.0, 2, true], [96.0, 2, true], [96.0, 2, true], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [96.0, 2, true], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [93.0, 3, true], [-3000, 1000, false], [96.0, 2, true], [-3000, 1000, false], [96.0, 2, true], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [93.0, 3, true], [93.0, 3, true], [93.0, 3, true], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [93.0, 3, true], [96.0, 2, true], [-3000, 1000, false], [90.0, 4, true], [96.0, 2, true], [-3000, 1000, false], [-3000, 1000, false], [93.0, 3, true], [93.0, 3, true], [96.0, 2, true], [93.0, 3, true], [-3000, 1000, false], [96.0, 2, true], [-3000, 1000, false], [-3000, 1000, false], [96.0, 2, true], [93.0, 3, true], [96.0, 2, true], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [96.0, 2, true], [-3000, 1000, false], [-3000, 1000, false], [90.0, 4, true], [96.0, 2, true], [-3000, 1000, false], [93.0, 3, true], [96.0, 2, true], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [93.0, 3, true], [93.0, 3, true], [-3000, 1000, false], [93.0, 3, true], [-3000, 1000, false], [93.0, 3, true], [-3000, 1000, false], [93.0, 3, true], [-3000, 1000, false], [96.0, 2, true], [93.0, 3, true], [96.0, 2, true], [-3000, 1000, false], [96.0, 2, true], [96.0, 2, true], [96.0, 2, true], [90.0, 4, true], [-3000, 1000, false], [-3000, 1000, false], [93.0, 3, true], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [96.0, 2, true]]"
nodupe,0.0001,0.05,-1546.2,531.38,0.47,93.191,2.936,2.374,0.791,"[[-3000, 1000, false], [96.0, 2, true], [93.0, 3, true], [96.0, 2, true], [-3000, 1000, false], [93.0, 3, true], [93.0, 3, true], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [93.0, 3, true], [-3000, 1000, false], [93.0, 3, true], [93.0, 3, true], [96.0, 2, true], [93.0, 3, true], [-3000, 1000, false], [-3000, 1000, false], [93.0, 3, true], [93.0, 3, true], [96.0, 2, true], [-3000, 1000, false], [90.0, 4, true], [-3000, 1000, false], [90.0, 4, true], [-3000, 1000, false], [90.0, 4, true], [-3000, 1000, false], [96.0, 2, true], [-3000, 1000, false], [93.0, 3, true], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [93.0, 3, true], [96.0, 2, true], [-3000, 1000, false], [-3000, 1000, false], [96.0, 2, true], [-3000, 1000, false], [93.0, 3, true], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [90.0, 4, true], [93.0, 3, true], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [93.0, 3, true], [-3000, 1000, false], [90.0, 4, true], [93.0, 3, true], [-3000, 1000, false], [90.0, 4, true], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [93.0, 3, true], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [90.0, 4, true], [93.0, 3, true], [-3000, 1000, false], [-3000, 1000, false], [96.0, 2, true], [93.0, 3, true], [-3000, 1000, false], [-3000, 1000, false], [90.0, 4, true], [-3000, 1000, false], [93.0, 3, true], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [90.0, 4, true], [93.0, 3, true], [96.0, 2, true], [-3000, 1000, false], [96.0, 2, true], [93.0, 3, true], [96.0, 2, true], [96.0, 2, true], [96.0, 2, true], [-3000, 1000, false], [96.0, 2, true], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [90.0, 4, true], [96.0, 2, true], [87.0, 5, true]]"
nodupe,0.0001,0.001,-1899.08,670.98,0.33,93.636,2.97,2.261,0.728,"[[95.0, 3, true], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [95.0, 3, true], [-3000, 1000, false], [96.0, 2, true], [93.0, 3, true], [-3000, 1000, false], [-3000, 1000, false], [-2998.0, 1000, false], [95.0, 3, true], [95.0, 3, true], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [93.0, 3, true], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [96.0, 2, true], [-2998.0, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [90.0, 4, true], [-3000, 1000, false], [95.0, 3, true], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [93.0, 3, true], [-2996.0, 1000, false], [92.0, 4, true], [-3000, 1000, false], [96.0, 2, true], [96.0, 2, true], [-3000, 1000, false], [93.0, 3, true], [87.0, 5, true], [-3000, 1000, false], [-1006.0, 1000, false], [96.0, 2, true], [95.0, 3, true], [-2002.0, 1000, false], [-2996.0, 1000, false], [93.0, 3, true], [95.0, 3, true], [90.0, 4, true], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [-2996.0, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [96.0, 2, true], [-3000, 1000, false], [-3000, 1000, false], [93.0, 3, true], [-3000, 1000, false], [-3000, 1000, false], [93.0, 3, true], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [93.0, 3, true], [93.0, 3, true], [-2002.0, 1000, false], [-2996.0, 1000, false], [-3000, 1000, false], [-2996.0, 1000, false], [-3000, 1000, false], [93.0, 3, true], [96.0, 2, true], [90.0, 4, true], [-1006, 1000, false], [90.0, 4, true], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [-1006.0, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [93.0, 3, true], [-3000, 1000, false], [95.0, 3, true], [-3000, 1000, false], [96.0, 2, true]]"
