mask_type,learning_rate,ent_coef,mean_overall,steps_overall,goal_rate,mean_clean,steps_clean,reward_sd_clean,steps_sd_clean,runs
poss,0.01,0.1,-1830.25,680.97,0.32,93.781,3.031,2.136,0.822,"[[-3000, 1000, false], [96.0, 2, true], [92.0, 4, true], [95.0, 3, true], [-1006, 1000, false], [-1002, 1000, false], [93.0, 3, true], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [93.0, 3, true], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [95.0, 3, true], [93.0, 3, true], [-3000, 1000, false], [-3000, 1000, false], [93.0, 3, true], [93.0, 3, true], [96.0, 2, true], [-3000, 1000, false], [90.0, 4, true], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [-1002, 1000, false], [-3000, 1000, false], [96.0, 2, true], [-3000, 1000, false], [-1002, 1000, false], [90.0, 4, true], [-3000, 1000, false], [-3000, 1000, false], [-1002, 1000, false], [-3000, 1000, false], [96.0, 2, true], [96.0, 2, true], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [93.0, 3, true], [-1002, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [95.0, 3, true], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [92.0, 4, true], [-3000, 1000, false], [-1006, 1000, false], [92.0, 4, true], [-1002, 1000, false], [90.0, 4, true], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [95.0, 3, true], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [92.0, 4, true], [-1002, 1000, false], [-3000, 1000, false], [95.0, 3, true], [96.0, 2, true], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [92.0, 4, true], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [95.0, 3, true], [-3000, 1000, false], [96.0, 2, true], [95.0, 3, true], [95.0, 3, true], [96.0, 2, true], [96.0, 2, true], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [89.0, 5, true]]"
poss,0.01,0.05,-1000.0,1000.0,0.0,nan,nan,nan,nan,"[[-1000, 1000, false], [-1000, 1000, false], [-1000, 1000, false], [-1000, 1000, false], [-1000, 1000, false], [-1000, 1000, false], [-1000, 1000, false], [-1000, 1000, false], [-1000, 1000, false], [-1000, 1000, false], [-1000, 1000, false], [-1000, 1000, false], [-1000, 1000, false], [-1000, 1000, false], [-1000, 1000, false], [-1000, 1000, false], [-1000, 1000, false], [-1000, 1000, false], [-1000, 1000, false], [-1000, 1000, false], [-1000, 1000, false], [-1000, 1000, false], [-1000, 1000, false], [-1000, 1000, false], [-1000, 1000, false], [-1000, 1000, false], [-1000, 1000, false], [-1000, 1000, false], [-1000, 1000, false], [-1000, 1000, false], [-1000, 1000, false], [-1000, 1000, false], [-1000, 1000, false], [-1000, 1000, false], [-1000, 1000, false], [-1000, 1000, false], [-1000, 1000, false], [-1000, 1000, false], [-1000, 1000, false], [-1000, 1000, false], [-1000, 1000, false], [-1000, 1000, false], [-1000, 1000, false], [-1000, 1000, false], [-1000, 1000, false], [-1000, 1000, false], [-1000, 1000, false], [-1000, 1000, false], [-1000, 1000, false], [-1000, 1000, false], [-1000, 1000, false], [-1000, 1000, false], [-1000, 1000, false], [-1000, 1000, false], [-1000, 1000, false], [-1000, 1000, false], [-1000, 1000, false], [-1000, 1000, false], [-1000, 1000, false], [-1000, 1000, false], [-1000, 1000, false], [-1000, 1000, false], [-1000, 1000, false], [-1000, 1000, false], [-1000, 1000, false], [-1000, 1000, false], [-1000, 1000, false], [-1000, 1000, false], [-1000, 1000, false], [-1000, 1000, false], [-1000, 1000, false], [-1000, 1000, false], [-1000, 1000, false], [-1000, 1000, false], [-1000, 1000, false], [-1000, 1000, false], [-1000, 1000, false], [-1000, 1000, false], [-1000, 1000, false], [-1000, 1000, false], [-1000, 1000, false], [-1000, 1000, false], [-1000, 1000, false], [-1000, 1000, false], [-1000, 1000, false], [-1000, 1000, false], [-1000, 1000, false], [-1000, 1000, false], [-1000, 1000, false], [-1000, 1000, false], [-1000, 1000, false], [-1000, 1000, false], [-1000, 1000, false], [-1000, 1000, false], [-1000, 1000, false], [-1000, 1000, false], [-1000, 1000, false], [-1000, 1000, false], [-1000, 1000, false], [-1000, 1000, false]]"
poss,0.01,0.001,-1183.86,1000.0,0.0,nan,nan,nan,nan,"[[-1000, 1000, false], [-1002, 1000, false], [-1002, 1000, false], [-1000, 1000, false], [-1004, 1000, false], [-1000, 1000, false], [-1000, 1000, false], [-1500, 1000, false], [-1002, 1000, false], [-1666, 1000, false], [-1000, 1000, false], [-1000, 1000, false], [-1000, 1000, false], [-1000, 1000, false], [-1002, 1000, false], [-1002, 1000, false], [-1666, 1000, false], [-1000, 1000, false], [-1002, 1000, false], [-1000, 1000, false], [-1000, 1000, false], [-1004, 1000, false], [-1000, 1000, false], [-1666, 1000, false], [-1000, 1000, false], [-1000, 1000, false], [-1998, 1000, false], [-1998, 1000, false], [-1000, 1000, false], [-1000, 1000, false], [-1000, 1000, false], [-1002, 1000, false], [-1002, 1000, false], [-1000, 1000, false], [-1998, 1000, false], [-1000, 1000, false], [-1500, 1000, false], [-1000, 1000, false], [-1000, 1000, false], [-1002, 1000, false], [-1666, 1000, false], [-1666, 1000, false], [-1000, 1000, false], [-1004, 1000, false], [-1500, 1000, false], [-1500, 1000, false], [-1000, 1000, false], [-1666, 1000, false], [-1000, 1000, false], [-1000, 1000, false], [-1000, 1000, false], [-1002, 1000, false], [-1002, 1000, false], [-1998, 1000, false], [-1000, 1000, false], [-1002, 1000, false], [-1000, 1000, false], [-1002, 1000, false], [-1000, 1000, false], [-1002, 1000, false], [-1004, 1000, false], [-1004, 1000, false], [-1000, 1000, false], [-1666, 1000, false], [-1666, 1000, false], [-1500, 1000, false], [-1004, 1000, false], [-1000, 1000, false], [-1000, 1000, false], [-1000, 1000, false], [-1004, 1000, false], [-1002, 1000, false], [-1000, 1000, false], [-1666, 1000, false], [-1000, 1000, false], [-1666, 1000, false], [-1666, 1000, false], [-1666, 1000, false], [-1000, 1000, false], [-1002, 1000, false], [-1004, 1000, false], [-1000, 1000, false], [-1002, 1000, false], [-1666, 1000, false], [-1000, 1000, false], [-1000, 1000, false], [-1002, 1000, false], [-1002, 1000, false], [-1666, 1000, false], [-1002, 1000, false], [-1000, 1000, false], [-1000, 1000, false], [-1000, 1000, false], [-1666, 1000, false], [-1000, 1000, false], [-1000, 1000, false], [-1666, 1000, false], [-1000, 1000, false], [-1666, 1000, false], [-1500, 1000, false]]"
poss,0.001,0.1,-1146.38,551.72,0.45,92.311,3.822,2.953,1.466,"[[-2334, 1000, false], [92.0, 4, true], [96.0, 2, true], [89.0, 5, true], [-2332, 1000, false], [-2000, 1000, false], [-2000, 1000, false], [89.0, 5, true], [-2998, 1000, false], [92.0, 4, true], [92.0, 4, true], [-2000, 1000, false], [88.0, 6, true], [88.0, 6, true], [92.0, 4, true], [96.0, 2, true], [92.0, 4, true], [-2000, 1000, false], [96.0, 2, true], [92.0, 4, true], [-1668, 1000, false], [-2002, 1000, false], [96.0, 2, true], [92.0, 4, true], [96.0, 2, true], [-2000, 1000, false], [-1668, 1000, false], [-2000, 1000, false], [92.0, 4, true], [92.0, 4, true], [-2000, 1000, false], [92.0, 4, true], [-2332, 1000, false], [-2000, 1000, false], [-1668, 1000, false], [-2332, 1000, false], [96.0, 2, true], [92.0, 4, true], [96.0, 2, true], [-2998, 1000, false], [92.0, 4, true], [-2332, 1000, false], [-2000, 1000, false], [88.0, 6, true], [-2000, 1000, false], [-2000, 1000, false], [-2334, 1000, false], [96.0, 2, true], [-2332, 1000, false], [-2998, 1000, false], [-2998, 1000, false], [-2000, 1000, false], [-2000, 1000, false], [-2998, 1000, false], [-2000, 1000, false], [96.0, 2, true], [-2000, 1000, false], [-2000, 1000, false], [-2332, 1000, false], [-1004, 1000, false], [-1800, 1000, false], [-2000, 1000, false], [-2000, 1000, false], [92.0, 4, true], [96.0, 2, true], [-2998, 1000, false], [-2998, 1000, false], [-2000, 1000, false], [-2000, 1000, false], [92.0, 4, true], [88.0, 6, true], [-2000, 1000, false], [89.0, 5, true], [96.0, 2, true], [-1668, 1000, false], [92.0, 4, true], [88.0, 6, true], [-2332, 1000, false], [96.0, 2, true], [-2334, 1000, false], [-2000, 1000, false], [-2334, 1000, false], [-2002, 1000, false], [-2332, 1000, false], [96.0, 2, true], [92.0, 4, true], [-2000, 1000, false], [92.0, 4, true], [96.0, 2, true], [92.0, 4, true], [92.0, 4, true], [92.0, 4, true], [-2000, 1000, false], [88.0, 6, true], [-2000, 1000, false], [-2000, 1000, false], [87.0, 7, true], [-2334, 1000, false], [88.0, 6, true], [-2000, 1000, false]]"
poss,0.001,0.05,-738.35,392.67,0.61,92.311,4.377,2.837,1.635,"[[83.0, 9, true], [-2334, 1000, false], [92.0, 4, true], [-2334, 1000, false], [-2000, 1000, false], [-2000, 1000, false], [-1002, 1000, false], [94.0, 4, true], [96.0, 2, true], [95.0, 3, true], [-1666, 1000, false], [-1998, 1000, false], [-1666, 1000, false], [89.0, 7, true], [-2334, 1000, false], [92.0, 4, true], [-2330, 1000, false], [95.0, 3, true], [92.0, 4, true], [91.0, 5, true], [-2000, 1000, false], [-2334, 1000, false], [92.0, 4, true], [91.0, 5, true], [94.0, 4, true], [90.0, 6, true], [90.0, 6, true], [95.0, 3, true], [92.0, 4, true], [87.0, 7, true], [-1666, 1000, false], [-2334, 1000, false], [92.0, 4, true], [90.0, 6, true], [95.0, 3, true], [95.0, 3, true], [95.0, 3, true], [-2000, 1000, false], [-2000, 1000, false], [-1668, 1000, false], [95.0, 3, true], [-2000, 1000, false], [90.0, 6, true], [-2000, 1000, false], [90.0, 6, true], [94.0, 4, true], [-2334, 1000, false], [90.0, 6, true], [95.0, 3, true], [96.0, 2, true], [89.0, 7, true], [96.0, 2, true], [91.0, 5, true], [91.0, 5, true], [-2334, 1000, false], [92.0, 4, true], [91.0, 5, true], [96.0, 2, true], [86.0, 8, true], [90.0, 6, true], [89.0, 7, true], [-1800, 1000, false], [-2000, 1000, false], [-2332, 1000, false], [91.0, 5, true], [-1666, 1000, false], [-2000, 1000, false], [92.0, 4, true], [95.0, 3, true], [-1666, 1000, false], [-1668, 1000, false], [90.0, 6, true], [-2334, 1000, false], [91.0, 5, true], [95.0, 3, true], [95.0, 3, true], [-2330, 1000, false], [87.0, 7, true], [92.0, 4, true], [96.0, 2, true], [-2000, 1000, false], [95.0, 3, true], [-2334, 1000, false], [-2332, 1000, false], [94.0, 4, true], [92.0, 4, true], [96.0, 2, true], [92.0, 4, true], [91.0, 5, true], [-2334, 1000, false], [-2000, 1000, false], [-2334, 1000, false], [-2000, 1000, false], [95.0, 3, true], [-1668, 1000, false], [95.0, 3, true], [90.0, 6, true], [-2334, 1000, false], [95.0, 3, true], [94.0, 4, true]]"
poss,0.001,0.001,-1764.57,621.17,0.38,93.395,3.079,2.466,1.075,"[[92.0, 4, true], [96.0, 2, true], [-3000, 1000, false], [96.0, 2, true], [-3000, 1000, false], [89.0, 5, true], [-3000, 1000, false], [93.0, 3, true], [-3000, 1000, false], [-3000, 1000, false], [-2334, 1000, false], [-2334, 1000, false], [89.0, 5, true], [89.0, 5, true], [96.0, 2, true], [-2334, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [-2334, 1000, false], [96.0, 2, true], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [93.0, 3, true], [89.0, 5, true], [-3000, 1000, false], [-3000, 1000, false], [96.0, 2, true], [-3000, 1000, false], [89.0, 5, true], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [93.0, 3, true], [92.0, 4, true], [-3000, 1000, false], [96.0, 2, true], [93.0, 3, true], [93.0, 3, true], [96.0, 2, true], [93.0, 3, true], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [93.0, 3, true], [92.0, 4, true], [-3000, 1000, false], [92.0, 4, true], [-3000, 1000, false], [92.0, 4, true], [-2334, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [92.0, 4, true], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [93.0, 3, true], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [-2334, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [96.0, 2, true], [-3000, 1000, false], [-2334, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [93.0, 3, true], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [90.0, 4, true], [96.0, 2, true], [-2334, 1000, false], [96.0, 2, true], [-3000, 1000, false], [96.0, 2, true], [96.0, 2, true], [96.0, 2, true], [-2334, 1000, false], [96.0, 2, true], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [92.0, 4, true], [96.0, 2, true], [93.0, 3, true]]"
poss,0.0001,0.1,-1514.64,521.2,0.48,94.5,2.5,1.857,0.619,"[[96.0, 2, true], [96.0, 2, true], [-3000, 1000, false], [96.0, 2, true], [-3000, 1000, false], [-3000, 1000, false], [96.0, 2, true], [96.0, 2, true], [93.0, 3, true], [-3000, 1000, false], [96.0, 2, true], [-3000, 1000, false], [96.0, 2, true], [96.0, 2, true], [96.0, 2, true], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [96.0, 2, true], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [93.0, 3, true], [-3000, 1000, false], [96.0, 2, true], [-3000, 1000, false], [96.0, 2, true], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [93.0, 3, true], [93.0, 3, true], [93.0, 3, true], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [93.0, 3, true], [96.0, 2, true], [-3000, 1000, false], [90.0, 4, true], [96.0, 2, true], [-3000, 1000, false], [-3000, 1000, false], [93.0, 3, true], [93.0, 3, true], [96.0, 2, true], [93.0, 3, true], [-3000, 1000, false], [96.0, 2, true], [-3000, 1000, false], [-3000, 1000, false], [96.0, 2, true], [93.0, 3, true], [96.0, 2, true], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [96.0, 2, true], [-3000, 1000, false], [-3000, 1000, false], [90.0, 4, true], [96.0, 2, true], [-3000, 1000, false], [93.0, 3, true], [96.0, 2, true], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [93.0, 3, true], [93.0, 3, true], [-3000, 1000, false], [93.0, 3, true], [-3000, 1000, false], [93.0, 3, true], [-3000, 1000, false], [93.0, 3, true], [-3000, 1000, false], [96.0, 2, true], [93.0, 3, true], [96.0, 2, true], [-3000, 1000, false], [96.0, 2, true], [96.0, 2, true], [96.0, 2, true], [90.0, 4, true], [-3000, 1000, false], [-3000, 1000, false], [93.0, 3, true], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [96.0, 2, true]]"
poss,0.0001,0.05,-1577.07,541.33,0.46,93.326,2.891,2.212,0.737,"[[-3000, 1000, false], [96.0, 2, true], [93.0, 3, true], [96.0, 2, true], [-3000, 1000, false], [93.0, 3, true], [93.0, 3, true], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [93.0, 3, true], [-3000, 1000, false], [93.0, 3, true], [93.0, 3, true], [96.0, 2, true], [93.0, 3, true], [-3000, 1000, false], [-3000, 1000, false], [93.0, 3, true], [93.0, 3, true], [96.0, 2, true], [-3000, 1000, false], [90.0, 4, true], [-3000, 1000, false], [90.0, 4, true], [-3000, 1000, false], [90.0, 4, true], [-3000, 1000, false], [96.0, 2, true], [-3000, 1000, false], [93.0, 3, true], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [93.0, 3, true], [96.0, 2, true], [-3000, 1000, false], [-3000, 1000, false], [96.0, 2, true], [-3000, 1000, false], [93.0, 3, true], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [90.0, 4, true], [93.0, 3, true], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [93.0, 3, true], [-3000, 1000, false], [90.0, 4, true], [93.0, 3, true], [-3000, 1000, false], [90.0, 4, true], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [93.0, 3, true], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [90.0, 4, true], [93.0, 3, true], [-3000, 1000, false], [-3000, 1000, false], [96.0, 2, true], [93.0, 3, true], [-3000, 1000, false], [-3000, 1000, false], [90.0, 4, true], [-3000, 1000, false], [93.0, 3, true], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [90.0, 4, true], [93.0, 3, true], [96.0, 2, true], [-3000, 1000, false], [96.0, 2, true], [93.0, 3, true], [96.0, 2, true], [96.0, 2, true], [96.0, 2, true], [-3000, 1000, false], [96.0, 2, true], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [90.0, 4, true], [96.0, 2, true], [-3000, 1000, false]]"
poss,0.0001,0.001,-1826.47,641.09,0.36,93.639,3.028,1.93,0.696,"[[95.0, 3, true], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [95.0, 3, true], [-3000, 1000, false], [96.0, 2, true], [93.0, 3, true], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [95.0, 3, true], [95.0, 3, true], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [93.0, 3, true], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [96.0, 2, true], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [90.0, 4, true], [-3000, 1000, false], [95.0, 3, true], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [93.0, 3, true], [92.0, 4, true], [-3000, 1000, false], [-3000, 1000, false], [96.0, 2, true], [96.0, 2, true], [-3000, 1000, false], [93.0, 3, true], [-3000, 1000, false], [-3000, 1000, false], [-1006, 1000, false], [96.0, 2, true], [95.0, 3, true], [-3000, 1000, false], [92.0, 4, true], [93.0, 3, true], [95.0, 3, true], [90.0, 4, true], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [92.0, 4, true], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [96.0, 2, true], [-3000, 1000, false], [-3000, 1000, false], [93.0, 3, true], [-3000, 1000, false], [-3000, 1000, false], [93.0, 3, true], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [93.0, 3, true], [93.0, 3, true], [-3000, 1000, false], [92.0, 4, true], [-3000, 1000, false], [92.0, 4, true], [-3000, 1000, false], [93.0, 3, true], [96.0, 2, true], [90.0, 4, true], [-1006, 1000, false], [90.0, 4, true], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [-1006, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [93.0, 3, true], [-3000, 1000, false], [95.0, 3, true], [-3000, 1000, false], [96.0, 2, true]]"
