mask_type,learning_rate,ent_coef,mean_overall,steps_overall,goal_rate,mean_clean,steps_clean,reward_sd_clean,steps_sd_clean,runs
adv,0.01,0.1,-1717.56,651.08,0.35,93.543,3.086,2.227,0.818,"[[-3000, 1000, false], [96.0, 2, true], [92.0, 4, true], [95.0, 3, true], [-1006, 1000, false], [-1002, 1000, false], [93.0, 3, true], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [93.0, 3, true], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [95.0, 3, true], [93.0, 3, true], [-3000, 1000, false], [-3000, 1000, false], [93.0, 3, true], [93.0, 3, true], [96.0, 2, true], [-3000, 1000, false], [90.0, 4, true], [-3000, 1000, false], [-1008, 1000, false], [-3000, 1000, false], [-1002, 1000, false], [-3000, 1000, false], [96.0, 2, true], [-3000, 1000, false], [-1002, 1000, false], [90.0, 4, true], [-3000, 1000, false], [-3000, 1000, false], [-1002, 1000, false], [-3000, 1000, false], [96.0, 2, true], [96.0, 2, true], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [93.0, 3, true], [-1002, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [95.0, 3, true], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [92.0, 4, true], [-3000, 1000, false], [-1006, 1000, false], [92.0, 4, true], [-1002, 1000, false], [90.0, 4, true], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [93.0, 3, true], [95.0, 3, true], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [92.0, 4, true], [-1002, 1000, false], [-3000, 1000, false], [95.0, 3, true], [96.0, 2, true], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [92.0, 4, true], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [90.0, 4, true], [-3000, 1000, false], [-3000, 1000, false], [95.0, 3, true], [-3000, 1000, false], [96.0, 2, true], [95.0, 3, true], [95.0, 3, true], [96.0, 2, true], [96.0, 2, true], [-3000, 1000, false], [89.0, 5, true], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [90.0, 4, true], [-2996, 1000, false]]"
adv,0.01,0.05,-2916.22,980.1,0.02,89.0,5,4.243,1.414,"[[-2998, 1000, false], [-2998, 1000, false], [-2996, 1000, false], [-2998, 1000, false], [-2998, 1000, false], [-2998, 1000, false], [-2998, 1000, false], [-2998, 1000, false], [-2998, 1000, false], [-2998, 1000, false], [-2998, 1000, false], [-2998, 1000, false], [-2998, 1000, false], [-2998, 1000, false], [-2998, 1000, false], [-2998, 1000, false], [-2996, 1000, false], [-2998, 1000, false], [92.0, 4, true], [-2998, 1000, false], [-2998, 1000, false], [-2998, 1000, false], [-2998, 1000, false], [-2998, 1000, false], [-2998, 1000, false], [-2998, 1000, false], [-2998, 1000, false], [-2996, 1000, false], [-2998, 1000, false], [-2998, 1000, false], [-2998, 1000, false], [-2996, 1000, false], [-2998, 1000, false], [-2998, 1000, false], [-2998, 1000, false], [-2998, 1000, false], [-2998, 1000, false], [-2998, 1000, false], [-2998, 1000, false], [-2998, 1000, false], [-2998, 1000, false], [-2998, 1000, false], [-2998, 1000, false], [-2998, 1000, false], [-2998, 1000, false], [-2998, 1000, false], [-2998, 1000, false], [-2998, 1000, false], [-2998, 1000, false], [-2998, 1000, false], [-2998, 1000, false], [-2998, 1000, false], [-2998, 1000, false], [-2998, 1000, false], [-2998, 1000, false], [-2998, 1000, false], [-2998, 1000, false], [-2998, 1000, false], [-2998, 1000, false], [-2998, 1000, false], [-2998, 1000, false], [-2998, 1000, false], [-2998, 1000, false], [-2996, 1000, false], [-2998, 1000, false], [-2998, 1000, false], [-2998, 1000, false], [-2998, 1000, false], [-2998, 1000, false], [-2998, 1000, false], [-2998, 1000, false], [-2998, 1000, false], [-2998, 1000, false], [-2998, 1000, false], [-2998, 1000, false], [-2998, 1000, false], [-2998, 1000, false], [-2998, 1000, false], [-2998, 1000, false], [-2998, 1000, false], [-2998, 1000, false], [-2998, 1000, false], [-2996, 1000, false], [-2998, 1000, false], [-2998, 1000, false], [-2998, 1000, false], [-2998, 1000, false], [-2998, 1000, false], [-2998, 1000, false], [-2998, 1000, false], [-1006, 1000, false], [-2998, 1000, false], [-2998, 1000, false], [-2998, 1000, false], [-2998, 1000, false], [-2998, 1000, false], [86.0, 6, true], [-2998, 1000, false], [-2998, 1000, false], [-2998, 1000, false]]"
adv,0.01,0.001,-2542.88,880.76,0.12,89.667,6.333,0.492,0.492,"[[-2992, 1000, false], [-2992, 1000, false], [-2992, 1000, false], [-2994, 1000, false], [90.0, 6, true], [-2994, 1000, false], [-2994, 1000, false], [-2992, 1000, false], [-2992, 1000, false], [-2990, 1000, false], [-2994, 1000, false], [-2992, 1000, false], [-2992, 1000, false], [-2992, 1000, false], [-2992, 1000, false], [-2992, 1000, false], [-2990, 1000, false], [89.0, 7, true], [-2992, 1000, false], [-2994, 1000, false], [-2994, 1000, false], [90.0, 6, true], [-2994, 1000, false], [-2990, 1000, false], [-2994, 1000, false], [-2992, 1000, false], [-2994, 1000, false], [-2994, 1000, false], [-2994, 1000, false], [-2992, 1000, false], [-2994, 1000, false], [-2992, 1000, false], [-2992, 1000, false], [89.0, 7, true], [-2994, 1000, false], [-2994, 1000, false], [-2992, 1000, false], [-2992, 1000, false], [-2994, 1000, false], [-2992, 1000, false], [-2990, 1000, false], [-2990, 1000, false], [-2994, 1000, false], [90.0, 6, true], [-2992, 1000, false], [-2992, 1000, false], [-2994, 1000, false], [-2990, 1000, false], [-2992, 1000, false], [-2994, 1000, false], [-2992, 1000, false], [-2992, 1000, false], [-1002, 1000, false], [-2994, 1000, false], [-2994, 1000, false], [-2992, 1000, false], [-1002, 1000, false], [-2992, 1000, false], [-2994, 1000, false], [-2992, 1000, false], [90.0, 6, true], [90.0, 6, true], [89.0, 7, true], [-2990, 1000, false], [-2990, 1000, false], [-2992, 1000, false], [90.0, 6, true], [-2994, 1000, false], [-2992, 1000, false], [-2994, 1000, false], [90.0, 6, true], [-1002, 1000, false], [-2994, 1000, false], [-2990, 1000, false], [-2994, 1000, false], [-2990, 1000, false], [-2990, 1000, false], [-2990, 1000, false], [-2994, 1000, false], [-2992, 1000, false], [90.0, 6, true], [-2992, 1000, false], [-2992, 1000, false], [-2990, 1000, false], [-2994, 1000, false], [-2994, 1000, false], [-2992, 1000, false], [-2992, 1000, false], [-2990, 1000, false], [-2992, 1000, false], [-2994, 1000, false], [-2994, 1000, false], [-2992, 1000, false], [-2990, 1000, false], [89.0, 7, true], [-1002, 1000, false], [-2990, 1000, false], [-2994, 1000, false], [-2990, 1000, false], [-2992, 1000, false]]"
adv,0.001,0.1,-866.82,313.26,0.69,90.319,4.725,3.913,1.862,"[[-2998, 1000, false], [92.0, 4, true], [96.0, 2, true], [89.0, 5, true], [-2994, 1000, false], [88.0, 8, true], [-2998, 1000, false], [89.0, 5, true], [86.0, 6, true], [92.0, 4, true], [92.0, 4, true], [-2998, 1000, false], [88.0, 6, true], [88.0, 6, true], [92.0, 4, true], [96.0, 2, true], [92.0, 4, true], [-2998, 1000, false], [96.0, 2, true], [92.0, 4, true], [90.0, 6, true], [-2998, 1000, false], [96.0, 2, true], [92.0, 4, true], [96.0, 2, true], [-2998, 1000, false], [88.0, 6, true], [-2998, 1000, false], [92.0, 4, true], [92.0, 4, true], [88.0, 8, true], [92.0, 4, true], [-2994, 1000, false], [-2998, 1000, false], [85.0, 7, true], [84.0, 8, true], [96.0, 2, true], [92.0, 4, true], [96.0, 2, true], [-2998, 1000, false], [92.0, 4, true], [84.0, 8, true], [83.0, 7, true], [88.0, 6, true], [89.0, 5, true], [-2998, 1000, false], [-2998, 1000, false], [96.0, 2, true], [84.0, 8, true], [86.0, 6, true], [-2998, 1000, false], [89.0, 5, true], [-2998, 1000, false], [89.0, 5, true], [-2998, 1000, false], [96.0, 2, true], [-2998, 1000, false], [85.0, 7, true], [-2994, 1000, false], [-2996, 1000, false], [-2994, 1000, false], [-2998, 1000, false], [-2998, 1000, false], [92.0, 4, true], [96.0, 2, true], [-2998, 1000, false], [-2998, 1000, false], [-2998, 1000, false], [89.0, 5, true], [92.0, 4, true], [88.0, 6, true], [89.0, 5, true], [89.0, 5, true], [96.0, 2, true], [-2994, 1000, false], [92.0, 4, true], [88.0, 6, true], [84.0, 8, true], [96.0, 2, true], [83.0, 7, true], [-2998, 1000, false], [86.0, 6, true], [-2998, 1000, false], [82.0, 8, true], [96.0, 2, true], [92.0, 4, true], [89.0, 5, true], [92.0, 4, true], [96.0, 2, true], [92.0, 4, true], [92.0, 4, true], [92.0, 4, true], [89.0, 5, true], [88.0, 6, true], [-2998, 1000, false], [89.0, 5, true], [87.0, 7, true], [-2998, 1000, false], [88.0, 6, true], [-2996, 1000, false]]"
adv,0.001,0.05,89.02,5.88,1.0,89.02,5.88,5.061,2.434,"[[83.0, 9, true], [85.0, 7, true], [92.0, 4, true], [85.0, 7, true], [84.0, 8, true], [80.0, 10, true], [90.0, 6, true], [94.0, 4, true], [96.0, 2, true], [95.0, 3, true], [90.0, 6, true], [86.0, 8, true], [86.0, 8, true], [89.0, 7, true], [85.0, 7, true], [92.0, 4, true], [83.0, 9, true], [95.0, 3, true], [92.0, 4, true], [91.0, 5, true], [87.0, 7, true], [84.0, 8, true], [92.0, 4, true], [91.0, 5, true], [94.0, 4, true], [90.0, 6, true], [90.0, 6, true], [95.0, 3, true], [92.0, 4, true], [87.0, 7, true], [83.0, 9, true], [80.0, 10, true], [92.0, 4, true], [90.0, 6, true], [95.0, 3, true], [95.0, 3, true], [95.0, 3, true], [84.0, 8, true], [83.0, 9, true], [84.0, 8, true], [95.0, 3, true], [79.0, 11, true], [90.0, 6, true], [81.0, 9, true], [90.0, 6, true], [94.0, 4, true], [84.0, 8, true], [90.0, 6, true], [95.0, 3, true], [96.0, 2, true], [89.0, 7, true], [96.0, 2, true], [91.0, 5, true], [91.0, 5, true], [77.0, 11, true], [92.0, 4, true], [91.0, 5, true], [96.0, 2, true], [86.0, 8, true], [90.0, 6, true], [89.0, 7, true], [83.0, 9, true], [83.0, 9, true], [88.0, 6, true], [91.0, 5, true], [86.0, 8, true], [81.0, 9, true], [92.0, 4, true], [95.0, 3, true], [87.0, 7, true], [84.0, 8, true], [90.0, 6, true], [85.0, 7, true], [91.0, 5, true], [95.0, 3, true], [95.0, 3, true], [86.0, 8, true], [87.0, 7, true], [92.0, 4, true], [96.0, 2, true], [86.0, 8, true], [95.0, 3, true], [77.0, 11, true], [80.0, 10, true], [94.0, 4, true], [92.0, 4, true], [96.0, 2, true], [92.0, 4, true], [91.0, 5, true], [85.0, 7, true], [88.0, 6, true], [85.0, 7, true], [80.0, 10, true], [95.0, 3, true], [83.0, 9, true], [95.0, 3, true], [90.0, 6, true], [84.0, 8, true], [95.0, 3, true], [94.0, 4, true]]"
adv,0.001,0.001,-1670.1,571.46,0.43,92.558,3.395,3.29,1.348,"[[92.0, 4, true], [96.0, 2, true], [-3000, 1000, false], [96.0, 2, true], [-3000, 1000, false], [89.0, 5, true], [-3000, 1000, false], [93.0, 3, true], [-3000, 1000, false], [-3000, 1000, false], [86.0, 6, true], [-2998, 1000, false], [89.0, 5, true], [89.0, 5, true], [96.0, 2, true], [86.0, 6, true], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [86.0, 6, true], [96.0, 2, true], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [93.0, 3, true], [89.0, 5, true], [-3000, 1000, false], [-3000, 1000, false], [96.0, 2, true], [-3000, 1000, false], [89.0, 5, true], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [93.0, 3, true], [92.0, 4, true], [87.0, 5, true], [96.0, 2, true], [93.0, 3, true], [93.0, 3, true], [96.0, 2, true], [93.0, 3, true], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [93.0, 3, true], [92.0, 4, true], [-3000, 1000, false], [92.0, 4, true], [-3000, 1000, false], [92.0, 4, true], [-2998, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [92.0, 4, true], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [93.0, 3, true], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [86.0, 6, true], [-3000, 1000, false], [-3000, 1000, false], [96.0, 2, true], [-3000, 1000, false], [-2998, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [93.0, 3, true], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [90.0, 4, true], [96.0, 2, true], [-2998, 1000, false], [96.0, 2, true], [-3000, 1000, false], [96.0, 2, true], [96.0, 2, true], [96.0, 2, true], [-2998, 1000, false], [96.0, 2, true], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [92.0, 4, true], [96.0, 2, true], [93.0, 3, true]]"
adv,0.0001,0.1,-1514.64,521.2,0.48,94.5,2.5,1.857,0.619,"[[96.0, 2, true], [96.0, 2, true], [-3000, 1000, false], [96.0, 2, true], [-3000, 1000, false], [-3000, 1000, false], [96.0, 2, true], [96.0, 2, true], [93.0, 3, true], [-3000, 1000, false], [96.0, 2, true], [-3000, 1000, false], [96.0, 2, true], [96.0, 2, true], [96.0, 2, true], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [96.0, 2, true], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [93.0, 3, true], [-3000, 1000, false], [96.0, 2, true], [-3000, 1000, false], [96.0, 2, true], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [93.0, 3, true], [93.0, 3, true], [93.0, 3, true], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [93.0, 3, true], [96.0, 2, true], [-3000, 1000, false], [90.0, 4, true], [96.0, 2, true], [-3000, 1000, false], [-3000, 1000, false], [93.0, 3, true], [93.0, 3, true], [96.0, 2, true], [93.0, 3, true], [-3000, 1000, false], [96.0, 2, true], [-3000, 1000, false], [-3000, 1000, false], [96.0, 2, true], [93.0, 3, true], [96.0, 2, true], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [96.0, 2, true], [-3000, 1000, false], [-3000, 1000, false], [90.0, 4, true], [96.0, 2, true], [-3000, 1000, false], [93.0, 3, true], [96.0, 2, true], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [93.0, 3, true], [93.0, 3, true], [-3000, 1000, false], [93.0, 3, true], [-3000, 1000, false], [93.0, 3, true], [-3000, 1000, false], [93.0, 3, true], [-3000, 1000, false], [96.0, 2, true], [93.0, 3, true], [96.0, 2, true], [-3000, 1000, false], [96.0, 2, true], [96.0, 2, true], [96.0, 2, true], [90.0, 4, true], [-3000, 1000, false], [-3000, 1000, false], [93.0, 3, true], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [96.0, 2, true]]"
adv,0.0001,0.05,-1546.2,531.38,0.47,93.191,2.936,2.374,0.791,"[[-3000, 1000, false], [96.0, 2, true], [93.0, 3, true], [96.0, 2, true], [-3000, 1000, false], [93.0, 3, true], [93.0, 3, true], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [93.0, 3, true], [-3000, 1000, false], [93.0, 3, true], [93.0, 3, true], [96.0, 2, true], [93.0, 3, true], [-3000, 1000, false], [-3000, 1000, false], [93.0, 3, true], [93.0, 3, true], [96.0, 2, true], [-3000, 1000, false], [90.0, 4, true], [-3000, 1000, false], [90.0, 4, true], [-3000, 1000, false], [90.0, 4, true], [-3000, 1000, false], [96.0, 2, true], [-3000, 1000, false], [93.0, 3, true], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [93.0, 3, true], [96.0, 2, true], [-3000, 1000, false], [-3000, 1000, false], [96.0, 2, true], [-3000, 1000, false], [93.0, 3, true], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [90.0, 4, true], [93.0, 3, true], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [93.0, 3, true], [-3000, 1000, false], [90.0, 4, true], [93.0, 3, true], [-3000, 1000, false], [90.0, 4, true], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [93.0, 3, true], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [90.0, 4, true], [93.0, 3, true], [-3000, 1000, false], [-3000, 1000, false], [96.0, 2, true], [93.0, 3, true], [-3000, 1000, false], [-3000, 1000, false], [90.0, 4, true], [-3000, 1000, false], [93.0, 3, true], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [90.0, 4, true], [93.0, 3, true], [96.0, 2, true], [-3000, 1000, false], [96.0, 2, true], [93.0, 3, true], [96.0, 2, true], [96.0, 2, true], [96.0, 2, true], [-3000, 1000, false], [96.0, 2, true], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [90.0, 4, true], [96.0, 2, true], [87.0, 5, true]]"
adv,0.0001,0.001,-1755.76,631.14,0.37,93.459,3.081,2.193,0.759,"[[95.0, 3, true], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [95.0, 3, true], [-3000, 1000, false], [96.0, 2, true], [93.0, 3, true], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [95.0, 3, true], [95.0, 3, true], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [93.0, 3, true], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [96.0, 2, true], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [90.0, 4, true], [-3000, 1000, false], [95.0, 3, true], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [93.0, 3, true], [92.0, 4, true], [-3000, 1000, false], [-3000, 1000, false], [96.0, 2, true], [96.0, 2, true], [-3000, 1000, false], [93.0, 3, true], [87.0, 5, true], [-3000, 1000, false], [-1006, 1000, false], [96.0, 2, true], [95.0, 3, true], [-1008, 1000, false], [92.0, 4, true], [93.0, 3, true], [95.0, 3, true], [90.0, 4, true], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [92.0, 4, true], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [96.0, 2, true], [-3000, 1000, false], [-3000, 1000, false], [93.0, 3, true], [-3000, 1000, false], [-3000, 1000, false], [93.0, 3, true], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [93.0, 3, true], [93.0, 3, true], [-1008, 1000, false], [92.0, 4, true], [-3000, 1000, false], [92.0, 4, true], [-3000, 1000, false], [93.0, 3, true], [96.0, 2, true], [90.0, 4, true], [-1006, 1000, false], [90.0, 4, true], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [-1006, 1000, false], [-3000, 1000, false], [-3000, 1000, false], [93.0, 3, true], [-3000, 1000, false], [95.0, 3, true], [-3000, 1000, false], [96.0, 2, true]]"
